symboling,fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,enginetype,cylindernumber,enginesize,fuelsystem,horsepower,citympg,highwaympg,price
0,gas,std,four,sedan,fwd,98.8,177.8,66.5,55.5,ohc,four,122,2bbl,84,26,32,8495
1,gas,std,two,hatchback,fwd,98.8,177.8,66.5,53.7,ohc,four,122,2bbl,84,26,32,10595
0,gas,std,four,sedan,fwd,98.8,177.8,66.5,55.5,ohc,four,122,2bbl,84,26,32,10245
0,diesel,std,four,sedan,fwd,98.8,177.8,66.5,55.5,ohc,four,122,idi,64,36,42,10795
0,gas,std,four,hatchback,fwd,98.8,177.8,66.5,55.5,ohc,four,122,2bbl,84,26,32,11245
0,gas,std,four,sedan,rwd,104.9,175,66.1,54.4,ohc,four,140,mpfi,120,19,27,18280
0,diesel,std,four,sedan,rwd,104.9,175,66.1,54.4,ohc,four,134,idi,72,31,39,18344
-1,diesel,turbo,four,sedan,rwd,110,190.9,70.3,56.5,ohc,five,183,idi,123,22,25,25552
-1,diesel,turbo,four,wagon,rwd,110,190.9,70.3,58.7,ohc,five,183,idi,123,22,25,28248
0,diesel,turbo,two,hardtop,rwd,106.7,187.5,70.3,54.9,ohc,five,183,idi,123,22,25,28176
-1,diesel,turbo,four,sedan,rwd,115.6,202.6,71.7,56.3,ohc,five,183,idi,123,22,25,31600
-1,gas,std,four,sedan,rwd,115.6,202.6,71.7,56.5,ohcv,eight,234,mpfi,155,16,18,34184
3,gas,std,two,convertible,rwd,96.6,180.3,70.5,50.8,ohcv,eight,234,mpfi,155,16,18,35056
0,gas,std,four,sedan,rwd,120.9,208.1,71.7,56.7,ohcv,eight,308,mpfi,184,14,16,40960
1,gas,std,two,hardtop,rwd,112,199.2,72,55.4,ohcv,eight,304,mpfi,184,14,16,45400
1,gas,turbo,two,hatchback,rwd,102.7,178.4,68,54.8,ohc,four,140,mpfi,175,19,24,16503
2,gas,std,two,hatchback,fwd,93.7,157.3,64.4,50.8,ohc,four,92,2bbl,68,37,41,5389
2,gas,std,two,hatchback,fwd,93.7,157.3,64.4,50.8,ohc,four,92,2bbl,68,31,38,6189
2,gas,std,two,hatchback,fwd,93.7,157.3,64.4,50.8,ohc,four,92,2bbl,68,31,38,6669
1,gas,turbo,two,hatchback,fwd,93,157.3,63.8,50.8,ohc,four,98,spdi,102,24,30,7689
3,gas,turbo,two,hatchback,fwd,96.3,173,65.4,49.4,ohc,four,110,spdi,116,23,30,9959
3,gas,std,two,hatchback,fwd,96.3,173,65.4,49.4,ohc,four,122,2bbl,88,25,32,8499
3,gas,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,ohc,four,156,spdi,145,19,24,12629
3,gas,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,ohc,four,156,spdi,145,19,24,14869
3,gas,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,ohc,four,156,spdi,145,19,24,14489
1,gas,std,four,sedan,fwd,96.3,172.4,65.4,51.6,ohc,four,122,2bbl,88,25,32,6989
1,gas,std,four,sedan,fwd,96.3,172.4,65.4,51.6,ohc,four,122,2bbl,88,25,32,8189
1,gas,turbo,four,sedan,fwd,96.3,172.4,65.4,51.6,ohc,four,110,spdi,116,23,30,9279
-1,gas,std,four,sedan,fwd,96.3,172.4,65.4,51.6,ohc,four,110,spdi,116,23,30,9279
1,gas,std,two,sedan,fwd,94.5,165.3,63.8,54.5,ohc,four,97,2bbl,69,31,37,5499
1,diesel,std,two,sedan,fwd,94.5,165.3,63.8,54.5,ohc,four,103,idi,55,45,50,7099
1,gas,std,two,sedan,fwd,94.5,165.3,63.8,54.5,ohc,four,97,2bbl,69,31,37,6649
1,gas,std,four,sedan,fwd,94.5,165.3,63.8,54.5,ohc,four,97,2bbl,69,31,37,6849
1,gas,std,four,wagon,fwd,94.5,170.2,63.8,53.5,ohc,four,97,2bbl,69,31,37,7349
1,gas,std,two,sedan,fwd,94.5,165.3,63.8,54.5,ohc,four,97,2bbl,69,31,37,7299
1,gas,std,two,hatchback,fwd,94.5,165.6,63.8,53.3,ohc,four,97,2bbl,69,31,37,7799
1,gas,std,four,sedan,fwd,94.5,165.3,63.8,54.5,ohc,four,97,2bbl,69,31,37,7499
1,gas,std,four,wagon,fwd,94.5,170.2,63.8,53.5,ohc,four,97,2bbl,69,31,37,7999
2,gas,std,two,hardtop,fwd,95.1,162.4,63.8,53.3,ohc,four,97,2bbl,69,31,37,8249
0,gas,std,four,hatchback,fwd,97.2,173.4,65.2,54.7,ohc,four,120,2bbl,97,27,34,8949
0,gas,std,four,sedan,fwd,97.2,173.4,65.2,54.7,ohc,four,120,2bbl,97,27,34,9549
0,gas,std,four,sedan,fwd,100.4,181.7,66.5,55.1,ohcv,six,181,mpfi,152,17,22,13499
0,gas,std,four,wagon,fwd,100.4,184.6,66.5,56.1,ohcv,six,181,mpfi,152,17,22,14399
0,gas,std,four,sedan,fwd,100.4,184.6,66.5,55.1,ohcv,six,181,mpfi,152,19,25,13499
3,gas,std,two,hatchback,rwd,91.3,170.7,67.9,49.7,ohcv,six,181,mpfi,160,19,25,17199
3,gas,turbo,two,hatchback,rwd,91.3,170.7,67.9,49.7,ohcv,six,181,mpfi,200,17,23,19699
1,gas,std,two,hatchback,rwd,99.2,178.5,67.9,49.7,ohcv,six,181,mpfi,160,19,25,18399
0,gas,std,four,sedan,rwd,107.9,186.7,68.4,56.7,l,four,120,mpfi,97,19,24,11900
0,diesel,turbo,four,sedan,rwd,107.9,186.7,68.4,56.7,l,four,152,idi,95,28,33,13200
0,gas,std,four,wagon,rwd,114.2,198.9,68.4,58.7,l,four,120,mpfi,97,19,24,12440
0,diesel,turbo,four,wagon,rwd,114.2,198.9,68.4,58.7,l,four,152,idi,95,25,25,13860
0,gas,std,four,sedan,rwd,107.9,186.7,68.4,56.7,l,four,120,mpfi,95,19,24,15580
0,diesel,turbo,four,sedan,rwd,107.9,186.7,68.4,56.7,l,four,152,idi,95,28,33,16900
0,gas,std,four,wagon,rwd,114.2,198.9,68.4,56.7,l,four,120,mpfi,95,19,24,16695
0,diesel,turbo,four,wagon,rwd,114.2,198.9,68.4,58.7,l,four,152,idi,95,25,25,17075
0,gas,std,four,sedan,rwd,107.9,186.7,68.4,56.7,l,four,120,mpfi,97,19,24,16630
0,diesel,turbo,four,sedan,rwd,107.9,186.7,68.4,56.7,l,four,152,idi,95,28,33,17950
0,gas,turbo,four,sedan,rwd,108,186.7,68.3,56,l,four,134,mpfi,142,18,24,18150
1,gas,std,two,hatchback,fwd,93.7,157.3,63.8,50.8,ohc,four,90,2bbl,68,37,41,5572
1,gas,turbo,two,hatchback,fwd,93.7,157.3,63.8,50.8,ohc,four,98,spdi,102,24,30,7957
1,gas,std,four,hatchback,fwd,93.7,157.3,63.8,50.6,ohc,four,90,2bbl,68,31,38,6229
1,gas,std,four,sedan,fwd,93.7,167.3,63.8,50.8,ohc,four,90,2bbl,68,31,38,6692
1,gas,std,four,sedan,fwd,93.7,167.3,63.8,50.8,ohc,four,98,2bbl,68,31,38,7609
-1,gas,std,four,wagon,fwd,103.3,174.6,64.6,59.8,ohc,four,122,2bbl,88,24,30,8921
3,gas,turbo,two,hatchback,rwd,95.9,173.2,66.3,50.2,ohc,four,156,spdi,145,19,24,12764
3,gas,std,two,hatchback,rwd,94.5,168.9,68.3,50.2,ohc,four,151,mpfi,143,19,27,22018
3,gas,std,two,hardtop,rwd,89.5,168.9,65,51.6,ohcf,six,194,mpfi,207,17,25,32528
3,gas,std,two,hardtop,rwd,89.5,168.9,65,51.6,ohcf,six,194,mpfi,207,17,25,34028
3,gas,std,two,convertible,rwd,89.5,168.9,65,51.6,ohcf,six,194,mpfi,207,17,25,37028
1,gas,std,two,hatchback,rwd,98.4,175.7,72.3,50.5,dohcv,eight,203,mpfi,288,17,28,31400.5
0,gas,std,four,wagon,fwd,96.1,181.5,66.5,55.2,ohc,four,132,mpfi,90,23,31,9295
2,gas,std,two,hatchback,fwd,96.1,176.8,66.6,50.5,ohc,four,132,mpfi,90,23,31,9895
3,gas,std,two,hatchback,fwd,99.1,186.6,66.5,56.1,ohc,four,121,mpfi,110,21,28,11850
2,gas,std,four,sedan,fwd,99.1,186.6,66.5,56.1,ohc,four,121,mpfi,110,21,28,12170
3,gas,std,two,hatchback,fwd,99.1,186.6,66.5,56.1,ohc,four,121,mpfi,110,21,28,15040
2,gas,std,four,sedan,fwd,99.1,186.6,66.5,56.1,ohc,four,121,mpfi,110,21,28,15510
3,gas,turbo,two,hatchback,fwd,99.1,186.6,66.5,56.1,dohc,four,121,mpfi,160,19,26,18150
2,gas,turbo,four,sedan,fwd,99.1,186.6,66.5,56.1,dohc,four,121,mpfi,160,19,26,18620
2,gas,std,two,hatchback,fwd,93.7,156.9,63.4,53.7,ohcf,four,97,2bbl,69,31,36,5118
2,gas,std,two,hatchback,fwd,93.7,157.9,63.6,53.7,ohcf,four,108,2bbl,73,26,31,7053
2,gas,std,two,hatchback,4wd,93.3,157.3,63.8,55.7,ohcf,four,108,2bbl,73,26,31,7603
0,gas,std,four,sedan,fwd,97.2,172,65.4,52.5,ohcf,four,108,2bbl,82,32,37,7126
0,gas,std,four,sedan,fwd,97.2,172,65.4,52.5,ohcf,four,108,2bbl,82,28,33,7775
0,gas,std,four,sedan,fwd,97.2,172,65.4,52.5,ohcf,four,108,mpfi,94,26,32,9960
0,gas,std,four,sedan,4wd,97,172,65.4,54.3,ohcf,four,108,2bbl,82,24,25,9233
0,gas,turbo,four,sedan,4wd,97,172,65.4,54.3,ohcf,four,108,mpfi,111,24,29,11259
0,gas,std,four,wagon,fwd,97,173.5,65.4,53,ohcf,four,108,2bbl,82,28,32,7463
0,gas,std,four,wagon,fwd,97,173.5,65.4,53,ohcf,four,108,mpfi,94,25,31,10198
0,gas,std,four,wagon,4wd,96.9,173.6,65.4,54.9,ohcf,four,108,2bbl,82,23,29,8013
0,gas,turbo,four,wagon,4wd,96.9,173.6,65.4,54.9,ohcf,four,108,mpfi,111,23,23,11694
1,gas,std,two,hatchback,fwd,95.7,158.7,63.6,54.5,ohc,four,92,2bbl,62,35,39,5348
1,gas,std,two,hatchback,fwd,95.7,158.7,63.6,54.5,ohc,four,92,2bbl,62,31,38,6338
1,gas,std,four,hatchback,fwd,95.7,158.7,63.6,54.5,ohc,four,92,2bbl,62,31,38,6488
0,gas,std,four,wagon,fwd,95.7,169.7,63.6,59.1,ohc,four,92,2bbl,62,31,37,6918
0,gas,std,four,wagon,4wd,95.7,169.7,63.6,59.1,ohc,four,92,2bbl,62,27,32,7898
0,gas,std,four,wagon,4wd,95.7,169.7,63.6,59.1,ohc,four,92,2bbl,62,27,32,8778
0,gas,std,four,sedan,fwd,95.7,166.3,64.4,53,ohc,four,98,2bbl,70,30,37,6938
0,gas,std,four,hatchback,fwd,95.7,166.3,64.4,52.8,ohc,four,98,2bbl,70,30,37,7198
0,diesel,std,four,sedan,fwd,95.7,166.3,64.4,53,ohc,four,110,idi,56,34,36,7898
0,diesel,std,four,hatchback,fwd,95.7,166.3,64.4,52.8,ohc,four,110,idi,56,38,47,7788
0,gas,std,four,sedan,fwd,95.7,166.3,64.4,53,ohc,four,98,2bbl,70,38,47,7738
0,gas,std,four,hatchback,fwd,95.7,166.3,64.4,52.8,ohc,four,98,2bbl,70,28,34,8358
0,gas,std,four,sedan,fwd,95.7,166.3,64.4,52.8,ohc,four,98,2bbl,70,28,34,9258
1,gas,std,two,sedan,rwd,94.5,168.7,64,52.6,ohc,four,98,2bbl,70,29,34,8058
1,gas,std,two,hatchback,rwd,94.5,168.7,64,52.6,ohc,four,98,2bbl,70,29,34,8238
1,gas,std,two,sedan,rwd,94.5,168.7,64,52.6,dohc,four,98,mpfi,112,26,29,9298
1,gas,std,two,hatchback,rwd,94.5,168.7,64,52.6,dohc,four,98,mpfi,112,26,29,9538
2,gas,std,two,hardtop,rwd,98.4,176.2,65.6,52,ohc,four,146,mpfi,116,24,30,8449
2,gas,std,two,hardtop,rwd,98.4,176.2,65.6,52,ohc,four,146,mpfi,116,24,30,9639
2,gas,std,two,hatchback,rwd,98.4,176.2,65.6,52,ohc,four,146,mpfi,116,24,30,9989
2,gas,std,two,hardtop,rwd,98.4,176.2,65.6,52,ohc,four,146,mpfi,116,24,30,11199
2,gas,std,two,hatchback,rwd,98.4,176.2,65.6,52,ohc,four,146,mpfi,116,24,30,11549
2,gas,std,two,convertible,rwd,98.4,176.2,65.6,53,ohc,four,146,mpfi,116,24,30,17669
-1,gas,std,four,sedan,fwd,102.4,175.6,66.5,54.9,ohc,four,122,mpfi,92,29,34,8948
-1,diesel,turbo,four,sedan,fwd,102.4,175.6,66.5,54.9,ohc,four,110,idi,73,30,33,10698
-1,gas,std,four,hatchback,fwd,102.4,175.6,66.5,53.9,ohc,four,122,mpfi,92,27,32,9988
-1,gas,std,four,sedan,fwd,102.4,175.6,66.5,54.9,ohc,four,122,mpfi,92,27,32,10898
-1,gas,std,four,hatchback,fwd,102.4,175.6,66.5,53.9,ohc,four,122,mpfi,92,27,32,11248
3,gas,std,two,hatchback,rwd,102.9,183.5,67.7,52,dohc,six,171,mpfi,161,20,24,16558
3,gas,std,two,hatchback,rwd,102.9,183.5,67.7,52,dohc,six,171,mpfi,161,19,24,15998
-1,gas,std,four,sedan,rwd,104.5,187.8,66.5,54.1,dohc,six,171,mpfi,156,20,24,15690
-1,gas,std,four,wagon,rwd,104.5,187.8,66.5,54.1,dohc,six,161,mpfi,156,19,24,15750
2,diesel,std,two,sedan,fwd,97.3,171.7,65.5,55.7,ohc,four,97,idi,52,37,46,7775
2,gas,std,two,sedan,fwd,97.3,171.7,65.5,55.7,ohc,four,109,mpfi,85,27,34,7975
2,diesel,std,four,sedan,fwd,97.3,171.7,65.5,55.7,ohc,four,97,idi,52,37,46,7995
2,gas,std,four,sedan,fwd,97.3,171.7,65.5,55.7,ohc,four,109,mpfi,85,27,34,8195
2,gas,std,four,sedan,fwd,97.3,171.7,65.5,55.7,ohc,four,109,mpfi,85,27,34,8495
2,diesel,turbo,four,sedan,fwd,97.3,171.7,65.5,55.7,ohc,four,97,idi,68,37,42,9495
2,gas,std,four,sedan,fwd,97.3,171.7,65.5,55.7,ohc,four,109,mpfi,100,26,32,9995
3,gas,std,two,convertible,fwd,94.5,159.3,64.2,55.6,ohc,four,109,mpfi,90,24,29,11595
3,gas,std,two,hatchback,fwd,94.5,165.7,64,51.4,ohc,four,109,mpfi,90,24,29,9980
0,gas,std,four,sedan,fwd,100.4,180.2,66.9,55.1,ohc,five,136,mpfi,110,19,24,13295
0,diesel,turbo,four,sedan,fwd,100.4,180.2,66.9,55.1,ohc,four,97,idi,68,33,38,13845
0,gas,std,four,wagon,fwd,100.4,183.1,66.9,55.1,ohc,four,109,mpfi,88,25,31,12290
-2,gas,std,four,sedan,rwd,104.3,188.8,67.2,56.2,ohc,four,141,mpfi,114,23,28,12940
-1,gas,std,four,wagon,rwd,104.3,188.8,67.2,57.5,ohc,four,141,mpfi,114,23,28,13415
-2,gas,std,four,sedan,rwd,104.3,188.8,67.2,56.2,ohc,four,141,mpfi,114,24,28,15985
-1,gas,std,four,wagon,rwd,104.3,188.8,67.2,57.5,ohc,four,141,mpfi,114,24,28,16515
-2,gas,turbo,four,sedan,rwd,104.3,188.8,67.2,56.2,ohc,four,130,mpfi,162,17,22,18420
-1,gas,turbo,four,wagon,rwd,104.3,188.8,67.2,57.5,ohc,four,130,mpfi,162,17,22,18950
-1,gas,std,four,sedan,rwd,109.1,188.8,68.9,55.5,ohc,four,141,mpfi,114,23,28,16845
-1,gas,turbo,four,sedan,rwd,109.1,188.8,68.8,55.5,ohc,four,141,mpfi,160,19,25,19045
-1,gas,std,four,sedan,rwd,109.1,188.8,68.9,55.5,ohcv,six,173,mpfi,134,18,23,21485
-1,diesel,turbo,four,sedan,rwd,109.1,188.8,68.9,55.5,ohc,six,145,idi,106,26,27,22470
-1,gas,turbo,four,sedan,rwd,109.1,188.8,68.9,55.5,ohc,four,141,mpfi,114,19,25,22625
